title,follower_numbers,total_price,unit_price,build_time,region,house_type,floor,house_area,house_type_structure,inside_area,building_type,orientation,building_structure,decoration,users/elevator,elevator,listing_time,transaction_ownership,last_transaction_time,house_use,house_years,ownership,mortgage_info,room_spare_parts,house_verification_code,house_label
5房2卫3阳台，老证无贷款 ，明厨明卫,59,448.0,18963,2009,汉阳,5室2厅1厨2卫,低楼层 (共50层),236.26㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯两户,有,2020-07-28,商品房,2018-10-11,普通住宅,满两年,共有,无抵押,已上传房本照片,20200806FGaTD,"地铁,VR房源,房本满两年,随时看房"
满五年 温馨小三房 中间楼层 诚心出售 随时看房,13,195.0,21648,2005,东湖高新,3室2厅1厨1卫,低楼层 (共6层),90.08㎡,平层,77.29㎡,板楼,南 北,钢混结构,简装,一梯两户,无,2021-05-22,商品房,2009-12-04,普通住宅,满五年,共有,无抵押,已上传房本照片,20210522gkQI8,"VR房源,房本满五年"
丽岛美生 经典两房出售 中间楼层 诚售中,11,122.0,20945,2014,东湖高新,2室1厅1厨1卫,低楼层 (共23层),58.25㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯八户,有,2021-05-14,商品房,2018-04-24,普通住宅,满两年,非共有,有抵押 15万元 招商银行 客户偿还,已上传房本照片,	20210516lPxmH,"VR看装修,房本满两年"
丽岛经济三房，不临马路满二税费低。,5,184.5,19816,2014,东湖高新,3室1厅1厨1卫,低楼层 (共31层),93.11㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-01-17,商品房,2017-12-06,普通住宅,满两年,非共有,有抵押 50万元 建设银行,已上传房本照片,20210118Pqjtb,"VR看装修,房本满两年,随时看房"
全新精装修，从未入住过，可拎包入住，有3个房间,78,142.0,16791,2014,汉阳,3室2厅1厨1卫,低楼层 (共34层),84.57㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2021-04-30,商品房,2018-07-06,普通住宅,满两年,共有,有抵押 30万元 银行 客户偿还,已上传房本照片,20200531eKhFl,"VR房源,房本满两年,随时看房"
民族大道上 光谷自由城 房东自住精装修,10,166.0,19127,2015,东湖高新,2室2厅1厨1卫,中楼层 (共32层),86.79㎡,平层,68.5㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-15,商品房,2017-01-01,普通住宅,满两年,共有,有抵押 46万元,已上传房本照片,	20210518BDafd,"VR看装修,房本满两年"
中建南湖壹号 全新精装三房 一线智能家居 产证满二年,8,328.0,26410,2017,洪山,3室2厅1厨2卫,低楼层 (共46层),124.2㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,三梯四户,有,2021-05-15,商品房,2018-07-11,普通住宅,满两年,共有,有抵押 76万元 广发银行,已上传房本照片,20210519jC42H,"VR看装修,房本满两年,随时看房"
产证满二+正中间楼栋+中间楼层+全房精装带暖气片,20,187.0,20102,2014,洪山,3室2厅1厨1卫,中楼层 (共33层),93.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-01-21,商品房,2017-02-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210123kiUWD,"VR看装修,房本满两年,随时看房"
莱茵城 精装3房 通透户型 交通便利  环境优美,14,51.8,5561,未知年建,新洲,3室2厅1厨1卫,低楼层 (共11层),93.16㎡,平层,78.34㎡,塔楼,南 西南,混合结构,精装,两梯两户,有,2021-04-23,商品房,2011-09-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210424i4JXN,"VR看装修,房本满五年,随时看房"
金地物业，中间楼层，南北通透双阳台，视野开阔可观湖,4,325.0,25501,2019,东湖高新,3室2厅1厨2卫,中楼层 (共33层),127.45㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2021-05-14,商品房,2019-10-14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202105230W2l3,"VR看装修,随时看房"
此房中高楼层，采光好，看房方便，业主十分诚意出售,28,116.0,14686,2009,汉阳,2室2厅1厨1卫,中楼层 (共11层),78.99㎡,平层,64.44㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-04,商品房,2010-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210508CS74l,"地铁,VR看装修,房本满五年,随时看房"
户型方正~正规三室一厅~小区环境优雅~小区住户素质高~,7,292.5,32551,2015,武昌,3室1厅1厨1卫,低楼层 (共18层),89.86㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,有,2021-05-15,商品房,2020-08-04,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20210516wMybG,"地铁,VR看装修,随时看房"
金地格林 不临街电梯通透三房，诚意出售,17,297.0,24020,2008,洪山,3室2厅1厨2卫,中楼层 (共11层),123.65㎡,平层,105.02㎡,板楼,南,钢混结构,精装,一梯两户,有,2021-05-17,商品房,2017-01-22,普通住宅,满两年,非共有,有抵押 235万元 浙商银行,已上传房本照片,20210517NQisH,"VR看装修,房本满两年"
天合新界，满五唯一，随时可以签约！,2,120.0,13332,2012,东西湖,2室2厅1厨1卫,中楼层 (共33层),90.01㎡,平层,73.37㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-05-17,商品房,2014-05-07,普通住宅,满五年,非共有,有抵押 20万元 汉口银行 客户偿还,已上传房本照片,20210518w8Jjv,"VR看装修,房本满五年"
保利拉菲经典朝南小三房，业主诚心出售。,12,220.0,22996,2013,洪山,3室1厅1厨1卫,低楼层 (共34层),95.67㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,2021-05-12,商品房,2018-04-24,普通住宅,满两年,共有,无抵押,已上传房本照片,20210514NjRYQ,"VR看装修,房本满两年,随时看房"
此房老证，电梯3房楼层居中，业主急售。,17,252.0,18718,2004,江岸,3室2厅1厨2卫,高楼层 (共15层),134.63㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,2021-03-03,商品房,2007-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210313ORsGi,"地铁,VR房源,房本满五年"
业主诚心出售，全新装修，拎包入住，看房方便,5,157.0,10783,2006,江夏,4室2厅1厨2卫,高楼层 (共6层),145.61㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,2021-05-12,商品房,2017-08-11,普通住宅,满两年,非共有,有抵押 103万元,已上传房本照片,20210512AdEOu,"VR看装修,房本满两年,随时看房"
二环内 南北通透三房两卫 精装带暖气 满五无抵押,25,239.0,21831,2011,武昌,3室2厅1厨2卫,中楼层 (共24层),109.48㎡,平层,84.03㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-02-21,商品房,2012-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2021022270qeH,"VR看装修,房本满五年,随时看房"
精装小三居正南北通风佳，视野采光舒适高，诚心出售中,21,159.0,17644,2015,洪山,3室2厅1厨1卫,低楼层 (共34层),90.12㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,2021-04-03,商品房,2016-11-12,普通住宅,满两年,共有,有抵押 29万元,已上传房本照片,20210408AaLri,"VR看装修,房本满两年,随时看房"
名都花园 满l两年  中间楼层采光好  产权清晰，,4,267.0,19960,2005,洪山,3室1厅1厨1卫,高楼层 (共11层),133.77㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,有,2021-05-19,商品房,2005-05-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,202005208PeqT,"地铁,VR房源,房本满五年,随时看房"
江南新天地精装两房，产证满二，税费少,22,128.0,15889,未知年建,江夏,2室2厅1厨1卫,中楼层 (共24层),80.56㎡,平层,65㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-05-15,商品房,2018-07-10,普通住宅,满两年,共有,有抵押 40万元 工商银行 业主自还,已上传房本照片,20210516GPRKq,"地铁,VR看装修,房本满两年"
双湖泊岸  精装两房  老证随时看房,2,140.0,15942,2015,沌口开发区,2室2厅1厨1卫,低楼层 (共29层),87.82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-05-13,商品房,2018-07-11,普通住宅,满两年,非共有,有抵押 80万元 未知 客户偿还,已上传房本照片,20210511fhUJL,"VR房源,房本满两年"
证满两年，居家精装修，楼层好采光好，业主诚售。,11,207.0,20914,2010,东湖高新,3室2厅1厨1卫,中楼层 (共32层),98.98㎡,平层,80.43㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2021-03-19,商品房,2012-03-16,普通住宅,满五年,共有,无抵押,已上传房本照片,202103248vTNw,"VR看装修,房本满五年,随时看房"
剑桥郡房子满二年，中间楼层，正对小区花园,18,213.0,16543,未知年建,东湖高新,3室2厅1厨2卫,中楼层 (共11层),128.76㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2021-01-05,商品房,2019-05-08,普通住宅,满两年,共有,无抵押,已上传房本照片,20210109OfLId,"VR房源,房本满两年,随时看房"
水域好户型，带80大露台，经典两房，欢迎来看。,26,285.0,40605,2014,洪山,2室2厅1厨1卫,低楼层 (共11层),70.19㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-05-06,商品房,2017-01-24,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210508M6dQ9,"VR看装修,房本满两年,随时看房"
业主诚心出售，看房有药匙，户型方正，楼层好,12,68.9,7351,未知年建,新洲,3室2厅1厨1卫,低楼层 (共29层),93.73㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,2021-05-12,商品房,2019-10-28,普通住宅,未满两年,非共有,有抵押 25万元 中国建行 客户偿还,已上传房本照片,20210512SZHVr,"地铁,VR看装修,随时看房"
光谷航天城毛坯，满二，业主诚心出售,23,148.0,17662,未知年建,东湖高新,2室2厅1厨1卫,中楼层 (共33层),83.8㎡,平层,64.05㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,2021-05-20,限价商品房,2018-08-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210521jd6US	,"VR看装修,房本满两年,随时看房"
亏本出售，新小区，环境优美，小区人车分流，通透户型,19,145.0,15996,2019,江夏,3室1厅1厨2卫,中楼层 (共33层),90.65㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-05-21,商品房,2020-09-30,普通住宅,未满两年,非共有,有抵押 100万元 交通银行 金融公司垫资,已上传房本照片,202105214TN3D,"VR看装修,随时看房"
万科城花璟苑两房，满两年，中楼层，精装，看房方便！,14,226.0,30541,2017,东湖高新,2室2厅1厨1卫,低楼层 (共27层),74㎡,平层,59.98㎡,板塔结合,西,钢混结构,精装,两梯六户,有,2021-04-30,商品房,2019-01-18,普通住宅,满两年,非共有,有抵押 50万元 客户偿还,已上传房本照片,202105059xPnf,"VR房源,房本满两年,随时看房"
紫润明园北区三居，简装，满五唯一，公摊低，配套齐全,6,132.0,14723,2011,硚口,3室1厅1厨1卫,中楼层 (共11层),89.66㎡,平层,75.27㎡,板塔结合,南,钢混结构,简装,一梯四户,有,2021-05-12,商品房,2013-03-06,普通住宅,满五年,非共有,有抵押 20万元 工商银行,已上传房本照片,20200112PwOJE,"VR看装修,房本满五年,随时看房"
自住精装修，带地暖三房，产证满两年，带车位诚心出售,4,195.0,22253,2016,东湖高新,3室2厅1厨1卫,中楼层 (共25层),87.63㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-05-19,商品房,2017-03-17,普通住宅,满两年,共有,无抵押,已上传房本照片,20210519lliEd,"VR看装修,房本满两年"
光谷锦绣龙城大两房，户型方正，东南向，精装修,21,155.0,16994,2009,东湖高新,2室2厅1厨1卫,低楼层 (共18层),91.21㎡,平层,74.41㎡,板楼,东南,钢混结构,精装,两梯四户,有,2021-05-18,商品房,2010-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200629SufHj,"VR房源,房本满五年"
此房为全朝南户型，高层视野好无遮挡，有钥匙随时看房,3,325.0,31655,2008,武昌,2室1厅1厨1卫,中楼层 (共26层),102.67㎡,平层,80.53㎡,塔楼,南,钢混结构,精装,两梯四户,有,2021-05-04,商品房,2014-08-22,普通住宅,满五年,共有,无抵押,已上传房本照片,20210114gnFpj,"VR看装修,房本满五年,随时看房"
万科嘉园 开发商精装 满2年 中间楼层  随时看房,22,195.0,23362,2017,东湖高新,3室2厅1厨1卫,高楼层 (共32层),83.47㎡,平层,暂无数据,塔楼,西,钢混结构,精装,三梯七户,有,2021-05-11,商品房,2019-04-26,普通住宅,满两年,共有,有抵押 25万元 交通银行 客户偿还,已上传房本照片,20210512i7hfL,"VR看装修,房本满两年,随时看房"
群星城汪家墩旁 南北朝向，满五年，出租装修,27,150.0,20605,2011,洪山,3室1厅1厨1卫,低楼层 (共31层),72.8㎡,平层,55.86㎡,板楼,东南,钢混结构,简装,两梯四户,有,2021-05-20,商品房,2015-10-20,普通住宅,满五年,共有,有抵押 20万元,已上传房本照片,2021022638kwX,"地铁,VR房源,房本满五年"
红星天铂业主诚心急售 户型方正 三房两卫 方便看房,8,75.0,7807,未知年建,新洲,3室2厅1厨2卫,中楼层 (共21层),96.07㎡,平层,74.71㎡,板楼,南,混合结构,毛坯,一梯五户,暂无数据,2021-05-09,商品房,2021-04-29,普通住宅,未满两年,非共有,有抵押 40万元 建行 客户偿还,已上传房本照片,20210506LrC0B,"VR看装修,随时看房"
通透大2房 居家装修 满五唯一 随时看房,8,158.0,16797,2014,武昌,2室2厅1厨1卫,中楼层 (共32层),94.07㎡,平层,73.66㎡,板楼,南,钢混结构,简装,两梯四户,有,2021-05-05,商品房,2015-02-15,普通住宅,满五年,非共有,有抵押 30万元 工商银行,已上传房本照片,20201029mYqZu,"VR看装修,房本满五年,随时看房"
精装修 产证满五唯一 中间楼层中空大复式看房方便,9,380.0,17528,2006,东西湖,4室2厅1厨3卫,中楼层 (共7层),216.8㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2021-05-16,商品房,2008-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210517cGimO,"VR房源,房本满五年,随时看房"
满2年 大华铂金华府3房 户型方正 全朝南 得房率高,13,198.0,22968,2012,青山,3室2厅1厨1卫,低楼层 (共32层),86.21㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯六户,有,2021-05-10,商品房,2019-04-16,普通住宅,满两年,共有,无抵押,已上传房本照片,20210512HwMA0,"VR房源,房本满两年,随时看房"
此房南北透通格局，高楼层，视野开阔，采光充足,7,74.4,8354,未知年建,新洲,3室2厅1厨1卫,低楼层 (共18层),89.06㎡,平层,73.74㎡,塔楼,南,钢混结构,毛坯,两梯四户,有,2021-03-08,商品房,2017-03-13,普通住宅,满两年,共有,无抵押,已上传房本照片,20210308u2cBk,"VR看装修,房本满两年,随时看房"
名都花园 一梯两户 大三房 满两年 看房有钥匙,83,278.0,20338,2005,洪山,3室2厅1厨2卫,高楼层 (共11层),136.69㎡,平层,125.8㎡,板塔结合,南,钢混结构,精装,一梯两户,有,2018-07-12,私产,2005-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,20191230Dv92t,"VR看装修,房本满五年,随时看房"
二环线   中建福地星城 正规3房  新小区新装修,16,226.0,25560,2016,洪山,3室2厅1厨1卫,中楼层 (共32层),88.42㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2021-05-12,商品房,2016-12-12,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210303iHvhd,"VR看装修,房本满两年,随时看房"
保利清能西海岸 北区满二无增值税,12,126.0,13836,2015,江夏,3室2厅1厨1卫,低楼层 (共27层),91.07㎡,平层,暂无数据,板楼,西南,钢混结构,毛坯,两梯四户,有,2021-04-28,商品房,2018-09-13,普通住宅,满两年,共有,有抵押 38万元 建设银行 业主自还,已上传房本照片,202104296eqeH,"VR房源,房本满两年,随时看房"
房子是老证，税费低，交通便利，近地铁站兴业路。,3,180.0,19158,2007,江岸,2室1厅1厨1卫,中楼层 (共18层),93.96㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021-05-19,商品房,2009-06-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,202105205W7sh,"VR看装修,房本满五年,随时看房"
保利公馆 精装三房 次新小区 中间楼层 产证满二,4,215.0,23629,2015,洪山,3室1厅1厨1卫,低楼层 (共34层),90.99㎡,平层,70㎡,塔楼,东南,钢混结构,精装,两梯四户,有,2021-05-21,商品房,2017-02-13,普通住宅,满两年,共有,有抵押 20万元 建设银行 业主自还,已上传房本照片,20210524bis4n,"VR看装修,房本满两年"
房东诚心卖，交通方便，生活便捷。,11,118.0,15417,2002,江汉,2室1厅1厨1卫,高楼层 (共6层),76.54㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-05-20,商品房,2013-05-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210521O4Too,"地铁,VR看装修,房本满五年,随时看房"
三期经典两房 中高层 前后无遮挡 视野采光好,18,220.0,27374,2014,东湖高新,2室2厅1厨1卫,高楼层 (共32层),80.37㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-05-16,商品房,2018-07-18,普通住宅,满两年,非共有,有抵押 30万元 招商银行 业主自还,已上传房本照片,20210516YfFHj,"VR看装修,房本满两年"
保利蓝海郡 一线湖景 中高楼层3房 满五唯一 有钥匙,29,198.0,22052,2013,洪山,3室1厅1厨1卫,中楼层 (共33层),89.79㎡,平层,69.97㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2021-05-05,商品房,2014-10-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200823xAr28,"VR看装修,房本满五年,随时看房"
房子是精装 老证 中高楼层 采光好 装修好 诚心出售,10,183.0,19282,2016,汉阳,3室2厅1厨2卫,低楼层 (共33层),94.91㎡,平层,暂无数据,塔楼,东南 北,钢混结构,精装,两梯四户,有,2021-05-06,商品房,2017-02-17,普通住宅,满两年,非共有,有抵押 40万元,已上传房本照片,20210507pNo9A,"VR看装修,房本满两年"
双地铁，不临马路，精装满二，无增值税，业主诚心出售,7,210.0,24100,2017,东湖高新,2室2厅1厨1卫,低楼层 (共33层),87.14㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-05-19,商品房,2018-04-20,普通住宅,满两年,共有,有抵押 57万元 农行 客户偿还,已上传房本照片,20210520gFYFv,"地铁,VR房源,房本满两年"
保利城  40万装修经典三房  地铁线在建 拎包入住,8,238.0,25893,2016,武昌,3室1厅1厨1卫,低楼层 (共51层),91.92㎡,平层,71.02㎡,板塔结合,东南,钢混结构,精装,三梯四户,有,2021-05-25,商品房,2017-02-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200416GGtuA,"VR房源,房本满两年,随时看房"
融科天域，满两年，通透两房，电梯房中间楼层,4,320.0,36459,2017,东湖高新,2室1厅1厨1卫,低楼层 (共33层),87.77㎡,平层,67.17㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,2021-05-23,商品房,2018-12-14,普通住宅,满两年,共有,有抵押 60万元 汉口银行 客户偿还,已上传房本照片,20210523PH8Q1,"VR看装修,房本满两年"
Ⅰ小 正规两房，通透采光好，价格可聊,8,248.0,31247,2003,江岸,2室1厅1厨1卫,中楼层 (共8层),79.37㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,无,2021-05-22,商品房,2000-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210522aBjyY,"地铁,VR房源,房本满五年,随时看房"
万科唐樾，老证三房，诚心出售，拎包即住,7,324.99,28204,2017,江汉,3室2厅1厨2卫,高楼层 (共42层),115.23㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,四梯四户,有,2021-05-23,商品房,2018-11-12,普通住宅,满两年,非共有,有抵押 70万元 交通银行 客户偿还,已上传房本照片,20210524gADTQ ,"地铁,VR看装修,房本满两年"
老证，精装修，朝南 采光好 视野无遮挡 诚意售,3,168.0,18030,未知年建,江汉,2室2厅1厨1卫,中楼层 (共32层),93.18㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯六户,有,2021-04-29,商品房,2017-05-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210516FbeIZ	,"VR看装修,房本满两年,随时看房"
南湖畔地铁口 央企 双阳台 边头户 可自用6米长廊 满二,10,205.0,23670,2016,洪山,2室2厅1厨1卫,高楼层 (共18层),86.61㎡,平层,67.95㎡,塔楼,南,钢混结构,简装,两梯六户,有,2021-04-29,商品房,2017-11-07,普通住宅,满两年,非共有,有抵押 40万元 招商 业主自还,已上传房本照片,20200426E8FWP,"VR看装修,房本满两年,随时看房"
通透两房，南北双阳台，满五唯一,6,200.0,21398,2011,江岸,2室2厅1厨1卫,中楼层 (共18层),93.47㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,2021-05-22,商品房,2012-09-18,普通住宅,满五年,非共有,有抵押 110万元 客户偿还,已上传房本照片,20210523fLxkr,"地铁,VR看装修,房本满五年"
精装三房，电梯房，业主诚心出售，满二,52,106.0,11541,2011,东西湖,3室2厅1厨2卫,高楼层 (共29层),91.85㎡,平层,80㎡,板楼,南 北,钢混结构,精装,两梯四户,有,2020-10-21,商品房,2012-10-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,2021012****x6,"VR看装修,房本满五年,随时看房"
民航小区精致三房老证后期税费低。,13,103.5,14521,1996,江汉,3室1厅1厨1卫,低楼层 (共7层),71.28㎡,平层,61.96㎡,塔楼,南,混合结构,简装,一梯两户,无,2021-05-06,商品房,2010-10-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210507Nh6s9,"地铁,VR看装修,房本满五年,随时看房"
8号线中一路地铁口国际百纳 毛坯三房 老证 随时看房,13,200.0,20564,2015,江岸,3室1厅1厨1卫,中楼层 (共46层),97.26㎡,平层,74.22㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,2021-05-10,商品房,2017-07-13,普通住宅,满两年,共有,无抵押,已上传房本照片,20210512jYsJO,"VR看装修,房本满两年,随时看房"
源馨苑电梯房 朝南两房 中间楼层采光好 居家装修老证,12,75.0,9366,2010,黄陂,2室2厅1厨1卫,中楼层 (共16层),80.08㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,2021-05-08,商品房,2014-08-11,普通住宅,满五年,共有,无抵押,已上传房本照片,20200911QVCoZ,"VR看装修,房本满五年,随时看房"
中楼层   视野开阔   居家精装   采光好   满五唯一,7,254.0,20589,2007,洪山,3室2厅1厨2卫,中楼层 (共18层),123.37㎡,平层,101.42㎡,塔楼,南,钢混结构,精装,两梯三户,有,2021-05-21,商品房,2011-01-13,普通住宅,满五年,共有,无抵押,已上传房本照片,202105225G8Qi,"VR看装修,房本满五年"
老证，无贷款，通透户型，中高楼层，采光好,3,203.0,22459,2015,汉阳,3室2厅1厨1卫,高楼层 (共33层),90.39㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-05-20,商品房,2010-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,202103093aDCO,"VR看装修,房本满五年,随时看房"
清江山水 2室2厅 南 北,10,230.0,25395,2011,东湖高新,2室2厅1厨1卫,中楼层 (共11层),90.57㎡,平层,74.02㎡,板楼,南 北,钢混结构,精装,一梯三户,有,2021-05-19,商品房,2014-12-20,普通住宅,满五年,非共有,有抵押 30万元 招商银行 业主自还,已上传房本照片,20210523sMKRP,"VR房源,房本满五年"
南北通透，老证，满五唯一，闹中取静楼栋,16,560.0,35432,2007,江岸,3室2厅1厨2卫,低楼层 (共31层),158.05㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2021-05-09,商品房,2017-06-22,普通住宅,满两年,非共有,有抵押 270万元 中信银行武汉分行 业主自还,已上传房本照片,20200103wrQiA,"地铁,VR房源,房本满两年,随时看房"
7号线地铁口，产证满二，中间楼层，精装空调带暖气,20,190.0,20404,2015,洪山,3室2厅1厨1卫,低楼层 (共34层),93.12㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-05-08,商品房,2017-10-25,普通住宅,满两年,非共有,有抵押 20万元 工行,已上传房本照片,2021050857GQ2,"地铁,VR看装修,房本满两年"
万科精装电梯房，三房楼层好，满两年,9,430.0,31869,2006,东湖高新,3室2厅1厨2卫,高楼层 (共11层),134.93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2021-05-18,商品房,2008-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210519PBTya,"VR看装修,房本满五年,随时看房"
藏龙岛，经典S91户型一梯两户花园洋房 产证满二,14,150.0,16768,2015,江夏,3室2厅1厨1卫,高楼层 (共11层),89.46㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,有,2021-05-20,商品房,2018-11-27,普通住宅,满两年,共有,有抵押 93万元,已上传房本照片,20210526meXKT,"VR看装修,房本满两年,随时看房"
长汽宿舍 古田五路 武汉四中 山鹰 低总价,6,80.0,13405,未知年建,硚口,3室1厅1厨1卫,中楼层 (共7层),59.68㎡,平层,暂无数据,塔楼,南,混合结构,简装,一梯三户,暂无数据,2021-05-19,经济适用房,2010-11-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,20201218CZBP0,"VR看装修,房本满五年"
地铁沿线 毛坯通透2房  双阳台,3,83.8,9664,2015,蔡甸,2室2厅1厨2卫,中楼层 (共29层),86.72㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2021-05-15,商品房,2018-07-20,普通住宅,满两年,非共有,有抵押 8万元 000 客户偿还,已上传房本照片,20210306n4EGm,"VR看装修,房本满两年,随时看房"
双南向两居  高楼层采光好  交通便利,10,146.0,18381,2009,江岸,2室1厅1厨1卫,高楼层 (共34层),79.43㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-05-17,商品房,2019-03-29,普通住宅,满两年,共有,有抵押 30万元 招商银行 业主自还,已上传房本照片,202105179v4R6,"VR看装修,房本满两年"
武昌区武昌火车站药检宿舍简装三房近4号线11号线,2,125.0,16215,未知年建,洪山,3室1厅1厨1卫,低楼层 (共6层),77.09㎡,平层,65.85㎡,板楼,南 北,未知结构,简装,一梯两户,暂无数据,2021-05-06,商品房,2013-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,202105195QdaH,"VR看装修,房本满五年,随时看房"
高楼层两阳台采光好准婚房很少住诚意出售,6,79.8,7648,未知年建,新洲,3室2厅1厨1卫,高楼层 (共27层),104.35㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,2021-05-12,商品房,2019-10-09,普通住宅,未满两年,非共有,有抵押 20万元 建设银行 客户偿还,已上传房本照片,20210512BF7Dq,"VR看装修,随时看房"
三环内新小区 ，三房二厅二卫，证满了2年业主自住好房,8,229.0,19014,2014,东湖高新,3室2厅1厨2卫,中楼层 (共32层),120.44㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-05-22,商品房,2018-01-04,普通住宅,满两年,共有,有抵押 30万元 工商银行 业主自还,已上传房本照片,2021052384cE8,"VR看装修,房本满两年"
老证， 板楼设计， 楼层好 采光充足 配套 设施齐,7,92.0,11726,1993,汉阳,2室1厅1厨1卫,中楼层 (共7层),78.46㎡,平层,68.09㎡,板楼,南,混合结构,简装,一梯两户,无,2021-05-03,经济适用房,2013-08-23,普通住宅,满五年,非共有,有抵押 16万元 招商银行 客户偿还,已上传房本照片,20210503Mnpqx ,"地铁,VR看装修,房本满五年,随时看房"
